ID,Contacto,Email Contacto,Agente,Canal,Dirección,Asunto,Ocurrió,Creado
64,Josefa Araya,josefa.araya12@ejemplo.com,admin,whatsapp,outbound,Interacción 1 - Josefa Araya,2026-09-09 06:26,2026-09-18 01:26
98,Valentina Silva,valentina.silva20@ejemplo.com,admin,phone,outbound,Interacción 5 - Valentina Silva,2026-09-09 03:26,2026-09-18 01:26
83,Vicente Soto,vicente.soto16@ejemplo.com,admin,meeting,outbound,Interacción 5 - Vicente Soto,2026-09-07 22:26,2026-09-18 01:26
135,Lucas Álvarez,lucas.álvarez30@ejemplo.com,admin,meeting,outbound,Interacción 7 - Lucas Álvarez,2026-09-07 19:26,2026-09-18 01:26
19,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,whatsapp,inbound,Interacción 3 - Facundo Carrasco,2026-09-07 06:26,2026-09-18 01:26
50,Valentina Flores,valentina.flores8@ejemplo.com,admin,phone,outbound,Interacción 5 - Valentina Flores,2026-09-06 19:26,2026-09-18 01:26
42,Catalina Fernández,catalina.fernández6@ejemplo.com,admin,email,outbound,Interacción 4 - Catalina Fernández,2026-09-05 20:26,2026-09-18 01:26
107,Lucas Soto,lucas.soto23@ejemplo.com,admin,phone,outbound,Interacción 1 - Lucas Soto,2026-09-05 14:26,2026-09-18 01:26
40,Catalina Fernández,catalina.fernández6@ejemplo.com,admin,email,inbound,Interacción 2 - Catalina Fernández,2026-09-05 14:26,2026-09-18 01:26
217,Tomás Morales,tomás.morales49@ejemplo.com,admin,chat,outbound,Interacción 2 - Tomás Morales,2026-09-05 12:26,2026-09-18 01:26
90,Agustín Bravo,agustín.bravo19@ejemplo.com,admin,meeting,outbound,Interacción 1 - Agustín Bravo,2026-09-04 20:26,2026-09-18 01:26
82,Vicente Soto,vicente.soto16@ejemplo.com,admin,other,outbound,Interacción 4 - Vicente Soto,2026-09-04 19:26,2026-09-18 01:26
65,Josefa Araya,josefa.araya12@ejemplo.com,admin,phone,outbound,Interacción 2 - Josefa Araya,2026-09-04 14:26,2026-09-18 01:26
36,Agustín Rojas,agustín.rojas5@ejemplo.com,admin,email,outbound,Interacción 4 - Agustín Rojas,2026-09-02 03:26,2026-09-18 01:26
91,Agustín Bravo,agustín.bravo19@ejemplo.com,admin,whatsapp,inbound,Interacción 2 - Agustín Bravo,2026-09-01 07:26,2026-09-18 01:26
1,Laura Fernández,laura.fernandez@ejemplo.com,admin,email,inbound,Consulta inicial,2026-09-01 03:49,2026-09-01 03:49
22,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,phone,outbound,Interacción 6 - Facundo Carrasco,2026-08-31 03:26,2026-09-18 01:26
106,Sofía Cáceres,sofía.cáceres22@ejemplo.com,admin,email,outbound,Interacción 4 - Sofía Cáceres,2026-08-31 00:26,2026-09-18 01:26
55,Camila Salazar,camila.salazar9@ejemplo.com,admin,other,outbound,Interacción 3 - Camila Salazar,2026-08-30 20:26,2026-09-18 01:26
113,Paz Salazar,paz.salazar24@ejemplo.com,admin,chat,inbound,Interacción 1 - Paz Salazar,2026-08-30 05:26,2026-09-18 01:26
2,Laura Fernández,laura.fernandez@ejemplo.com,admin,meeting,outbound,Reunión agendada,2026-08-30 03:49,2026-09-01 03:49
59,María Miranda,maría.miranda10@ejemplo.com,admin,email,inbound,Interacción 3 - María Miranda,2026-08-29 14:26,2026-09-18 01:26
171,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,other,inbound,Interacción 5 - Agustín Reyes,2026-08-29 13:26,2026-09-18 01:26
101,Valentina Silva,valentina.silva20@ejemplo.com,admin,email,outbound,Interacción 8 - Valentina Silva,2026-08-28 19:26,2026-09-18 01:26
3,Laura Fernández,laura.fernandez@ejemplo.com,admin,whatsapp,inbound,Problema técnico,2026-08-28 03:49,2026-09-01 03:49
13,Sofía Pérez,sofía.pérez1@ejemplo.com,admin,meeting,inbound,Interacción 4 - Sofía Pérez,2026-08-28 01:26,2026-09-18 01:26
39,Catalina Fernández,catalina.fernández6@ejemplo.com,admin,phone,outbound,Interacción 1 - Catalina Fernández,2026-08-27 23:26,2026-09-18 01:26
34,Agustín Rojas,agustín.rojas5@ejemplo.com,admin,phone,inbound,Interacción 2 - Agustín Rojas,2026-08-27 21:26,2026-09-18 01:26
32,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,meeting,outbound,Interacción 8 - Sebastián Muñoz,2026-08-26 17:26,2026-09-18 01:26
4,Laura Fernández,laura.fernandez@ejemplo.com,admin,phone,outbound,Soporte,2026-08-26 03:49,2026-09-01 03:49
45,Nicolás Guzmán,nicolás.guzmán7@ejemplo.com,admin,meeting,outbound,Interacción 2 - Nicolás Guzmán,2026-08-25 14:26,2026-09-18 01:26
87,Carlos García,carlos.garcía18@ejemplo.com,admin,chat,outbound,Interacción 2 - Carlos García,2026-08-24 22:26,2026-09-18 01:26
126,Cristóbal Martínez,cristóbal.martínez28@ejemplo.com,admin,meeting,inbound,Interacción 4 - Cristóbal Martínez,2026-08-24 05:26,2026-09-18 01:26
5,Laura Fernández,laura.fernandez@ejemplo.com,admin,email,inbound,Nuevo requerimiento,2026-08-24 03:49,2026-09-01 03:49
24,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,chat,inbound,Interacción 8 - Facundo Carrasco,2026-08-24 01:26,2026-09-18 01:26
97,Valentina Silva,valentina.silva20@ejemplo.com,admin,other,outbound,Interacción 4 - Valentina Silva,2026-08-23 09:26,2026-09-18 01:26
52,Valentina Flores,valentina.flores8@ejemplo.com,admin,whatsapp,outbound,Interacción 7 - Valentina Flores,2026-08-23 03:26,2026-09-18 01:26
202,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,email,outbound,Interacción 4 - Trinidad Bravo,2026-08-22 11:26,2026-09-18 01:26
125,Cristóbal Martínez,cristóbal.martínez28@ejemplo.com,admin,email,inbound,Interacción 3 - Cristóbal Martínez,2026-08-22 04:26,2026-09-18 01:26
31,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,phone,outbound,Interacción 7 - Sebastián Muñoz,2026-08-20 13:26,2026-09-18 01:26
207,Fernanda González,fernanda.gonzález45@ejemplo.com,admin,meeting,inbound,Interacción 1 - Fernanda González,2026-08-20 01:26,2026-09-18 01:26
127,Cristóbal Martínez,cristóbal.martínez28@ejemplo.com,admin,whatsapp,outbound,Interacción 5 - Cristóbal Martínez,2026-08-19 22:26,2026-09-18 01:26
189,Josefa García,josefa.garcía42@ejemplo.com,admin,other,inbound,Interacción 5 - Josefa García,2026-08-19 11:26,2026-09-18 01:26
210,Fernanda González,fernanda.gonzález45@ejemplo.com,admin,chat,outbound,Interacción 4 - Fernanda González,2026-08-19 04:26,2026-09-18 01:26
124,Cristóbal Martínez,cristóbal.martínez28@ejemplo.com,admin,chat,inbound,Interacción 2 - Cristóbal Martínez,2026-08-18 20:26,2026-09-18 01:26
53,Camila Salazar,camila.salazar9@ejemplo.com,admin,phone,outbound,Interacción 1 - Camila Salazar,2026-08-18 16:26,2026-09-18 01:26
58,María Miranda,maría.miranda10@ejemplo.com,admin,email,inbound,Interacción 2 - María Miranda,2026-08-18 13:26,2026-09-18 01:26
17,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,other,outbound,Interacción 1 - Facundo Carrasco,2026-08-18 05:26,2026-09-18 01:26
16,Sofía Rodríguez,sofía.rodríguez2@ejemplo.com,admin,whatsapp,inbound,Interacción 3 - Sofía Rodríguez,2026-08-18 04:26,2026-09-18 01:26
60,Ana Muñoz,ana.muñoz11@ejemplo.com,admin,email,outbound,Interacción 1 - Ana Muñoz,2026-08-18 03:26,2026-09-18 01:26
167,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,chat,inbound,Interacción 1 - Agustín Reyes,2026-08-17 05:26,2026-09-18 01:26
147,Benjamín Cortés,benjamín.cortés34@ejemplo.com,admin,email,outbound,Interacción 3 - Benjamín Cortés,2026-08-17 01:26,2026-09-18 01:26
102,Catalina Núñez,catalina.núñez21@ejemplo.com,admin,email,outbound,Interacción 1 - Catalina Núñez,2026-08-14 22:26,2026-09-18 01:26
175,Amanda Rodríguez,amanda.rodríguez40@ejemplo.com,admin,meeting,outbound,Interacción 1 - Amanda Rodríguez,2026-08-14 21:26,2026-09-18 01:26
204,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,other,inbound,Interacción 6 - Trinidad Bravo,2026-08-13 16:26,2026-09-18 01:26
181,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,chat,inbound,Interacción 3 - Agustín Martínez,2026-08-13 14:26,2026-09-18 01:26
44,Nicolás Guzmán,nicolás.guzmán7@ejemplo.com,admin,meeting,inbound,Interacción 1 - Nicolás Guzmán,2026-08-13 03:26,2026-09-18 01:26
191,Josefa García,josefa.garcía42@ejemplo.com,admin,meeting,inbound,Interacción 7 - Josefa García,2026-08-13 01:26,2026-09-18 01:26
119,María Cortés,maría.cortés26@ejemplo.com,admin,whatsapp,inbound,Interacción 2 - María Cortés,2026-08-12 07:26,2026-09-18 01:26
168,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,chat,inbound,Interacción 2 - Agustín Reyes,2026-08-12 06:26,2026-09-18 01:26
132,Lucas Álvarez,lucas.álvarez30@ejemplo.com,admin,other,inbound,Interacción 4 - Lucas Álvarez,2026-08-11 22:26,2026-09-18 01:26
94,Valentina Silva,valentina.silva20@ejemplo.com,admin,other,outbound,Interacción 1 - Valentina Silva,2026-08-11 19:26,2026-09-18 01:26
139,Amanda Herrera,amanda.herrera32@ejemplo.com,admin,email,outbound,Interacción 2 - Amanda Herrera,2026-08-11 16:26,2026-09-18 01:26
184,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,chat,inbound,Interacción 6 - Agustín Martínez,2026-08-10 13:26,2026-09-18 01:26
176,Amanda Rodríguez,amanda.rodríguez40@ejemplo.com,admin,email,inbound,Interacción 2 - Amanda Rodríguez,2026-08-10 02:26,2026-09-18 01:26
46,Valentina Flores,valentina.flores8@ejemplo.com,admin,email,inbound,Interacción 1 - Valentina Flores,2026-08-10 01:26,2026-09-18 01:26
169,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,chat,inbound,Interacción 3 - Agustín Reyes,2026-08-09 17:26,2026-09-18 01:26
93,Agustín Bravo,agustín.bravo19@ejemplo.com,admin,chat,inbound,Interacción 4 - Agustín Bravo,2026-08-08 08:26,2026-09-18 01:26
156,Martina Reyes,martina.reyes35@ejemplo.com,admin,other,inbound,Interacción 5 - Martina Reyes,2026-08-08 06:26,2026-09-18 01:26
96,Valentina Silva,valentina.silva20@ejemplo.com,admin,whatsapp,outbound,Interacción 3 - Valentina Silva,2026-08-07 21:26,2026-09-18 01:26
104,Sofía Cáceres,sofía.cáceres22@ejemplo.com,admin,whatsapp,outbound,Interacción 2 - Sofía Cáceres,2026-08-07 17:26,2026-09-18 01:26
12,Sofía Pérez,sofía.pérez1@ejemplo.com,admin,chat,inbound,Interacción 3 - Sofía Pérez,2026-08-07 05:26,2026-09-18 01:26
131,Lucas Álvarez,lucas.álvarez30@ejemplo.com,admin,phone,outbound,Interacción 3 - Lucas Álvarez,2026-08-07 02:26,2026-09-18 01:26
57,María Miranda,maría.miranda10@ejemplo.com,admin,whatsapp,outbound,Interacción 1 - María Miranda,2026-08-06 22:26,2026-09-18 01:26
84,Vicente Reyes,vicente.reyes17@ejemplo.com,admin,other,outbound,Interacción 1 - Vicente Reyes,2026-08-06 11:26,2026-09-18 01:26
7,Gabriel Tapia,gabriel.tapia0@ejemplo.com,admin,whatsapp,outbound,Interacción 2 - Gabriel Tapia,2026-08-06 09:26,2026-09-18 01:26
158,Javiera Fernández,javiera.fernández36@ejemplo.com,admin,meeting,inbound,Interacción 2 - Javiera Fernández,2026-08-06 08:26,2026-09-18 01:26
76,Tomás Carrasco,tomás.carrasco15@ejemplo.com,admin,email,inbound,Interacción 1 - Tomás Carrasco,2026-08-05 11:26,2026-09-18 01:26
86,Carlos García,carlos.garcía18@ejemplo.com,admin,email,inbound,Interacción 1 - Carlos García,2026-08-05 07:26,2026-09-18 01:26
89,Carlos García,carlos.garcía18@ejemplo.com,admin,email,outbound,Interacción 4 - Carlos García,2026-08-05 05:26,2026-09-18 01:26
18,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,other,inbound,Interacción 2 - Facundo Carrasco,2026-08-05 00:26,2026-09-18 01:26
179,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,email,outbound,Interacción 1 - Agustín Martínez,2026-08-04 16:26,2026-09-18 01:26
78,Tomás Carrasco,tomás.carrasco15@ejemplo.com,admin,email,inbound,Interacción 3 - Tomás Carrasco,2026-08-04 12:26,2026-09-18 01:26
70,Sebastián Herrera,sebastián.herrera14@ejemplo.com,admin,whatsapp,inbound,Interacción 2 - Sebastián Herrera,2026-08-04 06:26,2026-09-18 01:26
190,Josefa García,josefa.garcía42@ejemplo.com,admin,phone,outbound,Interacción 6 - Josefa García,2026-08-04 00:26,2026-09-18 01:26
66,Josefa Araya,josefa.araya12@ejemplo.com,admin,meeting,outbound,Interacción 3 - Josefa Araya,2026-08-03 15:26,2026-09-18 01:26
173,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,email,outbound,Interacción 7 - Agustín Reyes,2026-08-03 13:26,2026-09-18 01:26
8,Gabriel Tapia,gabriel.tapia0@ejemplo.com,admin,meeting,inbound,Interacción 3 - Gabriel Tapia,2026-08-03 11:26,2026-09-18 01:26
165,Ignacio Cáceres,ignacio.cáceres38@ejemplo.com,admin,whatsapp,outbound,Interacción 3 - Ignacio Cáceres,2026-08-02 16:26,2026-09-18 01:26
73,Sebastián Herrera,sebastián.herrera14@ejemplo.com,admin,meeting,inbound,Interacción 5 - Sebastián Herrera,2026-08-02 05:26,2026-09-18 01:26
115,Nicolás Reyes,nicolás.reyes25@ejemplo.com,admin,email,inbound,Interacción 1 - Nicolás Reyes,2026-08-01 16:26,2026-09-18 01:26
49,Valentina Flores,valentina.flores8@ejemplo.com,admin,other,inbound,Interacción 4 - Valentina Flores,2026-08-01 07:26,2026-09-18 01:26
41,Catalina Fernández,catalina.fernández6@ejemplo.com,admin,whatsapp,outbound,Interacción 3 - Catalina Fernández,2026-07-31 22:26,2026-09-18 01:26
200,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,phone,outbound,Interacción 2 - Trinidad Bravo,2026-07-31 20:26,2026-09-18 01:26
212,Agustín Rojas,agustín.rojas46@ejemplo.com,admin,whatsapp,outbound,Interacción 2 - Agustín Rojas,2026-07-31 14:26,2026-09-18 01:26
180,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,phone,inbound,Interacción 2 - Agustín Martínez,2026-07-31 04:26,2026-09-18 01:26
29,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,chat,inbound,Interacción 5 - Sebastián Muñoz,2026-07-30 20:26,2026-09-18 01:26
63,Ana Muñoz,ana.muñoz11@ejemplo.com,admin,chat,inbound,Interacción 4 - Ana Muñoz,2026-07-29 20:26,2026-09-18 01:26
208,Fernanda González,fernanda.gonzález45@ejemplo.com,admin,phone,inbound,Interacción 2 - Fernanda González,2026-07-29 19:26,2026-09-18 01:26
120,Ignacio Rojas,ignacio.rojas27@ejemplo.com,admin,other,outbound,Interacción 1 - Ignacio Rojas,2026-07-29 19:26,2026-09-18 01:26
95,Valentina Silva,valentina.silva20@ejemplo.com,admin,email,outbound,Interacción 2 - Valentina Silva,2026-07-28 15:26,2026-09-18 01:26
214,Benjamín López,benjamín.lópez47@ejemplo.com,admin,chat,inbound,Interacción 1 - Benjamín López,2026-07-28 03:26,2026-09-18 01:26
134,Lucas Álvarez,lucas.álvarez30@ejemplo.com,admin,phone,outbound,Interacción 6 - Lucas Álvarez,2026-07-28 01:26,2026-09-18 01:26
80,Vicente Soto,vicente.soto16@ejemplo.com,admin,chat,inbound,Interacción 2 - Vicente Soto,2026-07-27 21:26,2026-09-18 01:26
75,Sebastián Herrera,sebastián.herrera14@ejemplo.com,admin,whatsapp,inbound,Interacción 7 - Sebastián Herrera,2026-07-27 17:26,2026-09-18 01:26
157,Javiera Fernández,javiera.fernández36@ejemplo.com,admin,email,outbound,Interacción 1 - Javiera Fernández,2026-07-27 14:26,2026-09-18 01:26
35,Agustín Rojas,agustín.rojas5@ejemplo.com,admin,email,inbound,Interacción 3 - Agustín Rojas,2026-07-27 09:26,2026-09-18 01:26
148,Benjamín Cortés,benjamín.cortés34@ejemplo.com,admin,other,inbound,Interacción 4 - Benjamín Cortés,2026-07-26 19:26,2026-09-18 01:26
155,Martina Reyes,martina.reyes35@ejemplo.com,admin,email,outbound,Interacción 4 - Martina Reyes,2026-07-25 23:26,2026-09-18 01:26
81,Vicente Soto,vicente.soto16@ejemplo.com,admin,chat,outbound,Interacción 3 - Vicente Soto,2026-07-25 23:26,2026-09-18 01:26
137,Bruno Pizarro,bruno.pizarro31@ejemplo.com,admin,whatsapp,inbound,Interacción 1 - Bruno Pizarro,2026-07-25 12:26,2026-09-18 01:26
199,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,other,outbound,Interacción 1 - Trinidad Bravo,2026-07-25 03:26,2026-09-18 01:26
162,Fernanda Cortés,fernanda.cortés37@ejemplo.com,admin,phone,inbound,Interacción 3 - Fernanda Cortés,2026-07-25 01:26,2026-09-18 01:26
192,Ignacio Valenzuela,ignacio.valenzuela43@ejemplo.com,admin,meeting,outbound,Interacción 1 - Ignacio Valenzuela,2026-07-24 17:26,2026-09-18 01:26
140,Amanda Herrera,amanda.herrera32@ejemplo.com,admin,email,outbound,Interacción 3 - Amanda Herrera,2026-07-24 01:26,2026-09-18 01:26
27,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,phone,inbound,Interacción 3 - Sebastián Muñoz,2026-07-23 05:26,2026-09-18 01:26
201,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,chat,outbound,Interacción 3 - Trinidad Bravo,2026-07-22 12:26,2026-09-18 01:26
211,Agustín Rojas,agustín.rojas46@ejemplo.com,admin,meeting,outbound,Interacción 1 - Agustín Rojas,2026-07-22 08:26,2026-09-18 01:26
77,Tomás Carrasco,tomás.carrasco15@ejemplo.com,admin,other,inbound,Interacción 2 - Tomás Carrasco,2026-07-22 07:26,2026-09-18 01:26
30,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,phone,outbound,Interacción 6 - Sebastián Muñoz,2026-07-22 02:26,2026-09-18 01:26
62,Ana Muñoz,ana.muñoz11@ejemplo.com,admin,phone,outbound,Interacción 3 - Ana Muñoz,2026-07-22 00:26,2026-09-18 01:26
194,Ignacio Valenzuela,ignacio.valenzuela43@ejemplo.com,admin,whatsapp,inbound,Interacción 3 - Ignacio Valenzuela,2026-07-21 15:26,2026-09-18 01:26
79,Vicente Soto,vicente.soto16@ejemplo.com,admin,meeting,inbound,Interacción 1 - Vicente Soto,2026-07-21 10:26,2026-09-18 01:26
116,Nicolás Reyes,nicolás.reyes25@ejemplo.com,admin,other,outbound,Interacción 2 - Nicolás Reyes,2026-07-21 07:26,2026-09-18 01:26
47,Valentina Flores,valentina.flores8@ejemplo.com,admin,meeting,outbound,Interacción 2 - Valentina Flores,2026-07-21 02:26,2026-09-18 01:26
88,Carlos García,carlos.garcía18@ejemplo.com,admin,phone,outbound,Interacción 3 - Carlos García,2026-07-21 00:26,2026-09-18 01:26
215,Bruno Torres,bruno.torres48@ejemplo.com,admin,whatsapp,inbound,Interacción 1 - Bruno Torres,2026-07-20 23:26,2026-09-18 01:26
68,Trinidad Martínez,trinidad.martínez13@ejemplo.com,admin,email,outbound,Interacción 2 - Trinidad Martínez,2026-07-20 20:26,2026-09-18 01:26
161,Fernanda Cortés,fernanda.cortés37@ejemplo.com,admin,phone,inbound,Interacción 2 - Fernanda Cortés,2026-07-20 15:26,2026-09-18 01:26
151,Benjamín Cortés,benjamín.cortés34@ejemplo.com,admin,other,outbound,Interacción 7 - Benjamín Cortés,2026-07-20 12:26,2026-09-18 01:26
74,Sebastián Herrera,sebastián.herrera14@ejemplo.com,admin,chat,inbound,Interacción 6 - Sebastián Herrera,2026-07-20 12:26,2026-09-18 01:26
6,Gabriel Tapia,gabriel.tapia0@ejemplo.com,admin,other,inbound,Interacción 1 - Gabriel Tapia,2026-07-20 11:26,2026-09-18 01:26
111,Lucas Soto,lucas.soto23@ejemplo.com,admin,email,inbound,Interacción 5 - Lucas Soto,2026-07-20 07:26,2026-09-18 01:26
61,Ana Muñoz,ana.muñoz11@ejemplo.com,admin,meeting,inbound,Interacción 2 - Ana Muñoz,2026-07-19 17:26,2026-09-18 01:26
183,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,chat,outbound,Interacción 5 - Agustín Martínez,2026-07-19 10:26,2026-09-18 01:26
203,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,whatsapp,inbound,Interacción 5 - Trinidad Bravo,2026-07-19 04:26,2026-09-18 01:26
85,Vicente Reyes,vicente.reyes17@ejemplo.com,admin,chat,outbound,Interacción 2 - Vicente Reyes,2026-07-19 03:26,2026-09-18 01:26
10,Sofía Pérez,sofía.pérez1@ejemplo.com,admin,other,inbound,Interacción 1 - Sofía Pérez,2026-07-16 05:26,2026-09-18 01:26
37,Agustín Rojas,agustín.rojas5@ejemplo.com,admin,email,outbound,Interacción 5 - Agustín Rojas,2026-07-15 17:26,2026-09-18 01:26
143,Constanza Contreras,constanza.contreras33@ejemplo.com,admin,whatsapp,outbound,Interacción 1 - Constanza Contreras,2026-07-14 21:26,2026-09-18 01:26
185,Josefa García,josefa.garcía42@ejemplo.com,admin,meeting,inbound,Interacción 1 - Josefa García,2026-07-13 07:26,2026-09-18 01:26
205,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,other,inbound,Interacción 7 - Trinidad Bravo,2026-07-13 05:26,2026-09-18 01:26
54,Camila Salazar,camila.salazar9@ejemplo.com,admin,meeting,outbound,Interacción 2 - Camila Salazar,2026-07-12 13:26,2026-09-18 01:26
103,Sofía Cáceres,sofía.cáceres22@ejemplo.com,admin,chat,outbound,Interacción 1 - Sofía Cáceres,2026-07-12 08:26,2026-09-18 01:26
117,Nicolás Reyes,nicolás.reyes25@ejemplo.com,admin,other,outbound,Interacción 3 - Nicolás Reyes,2026-07-12 06:26,2026-09-18 01:26
170,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,whatsapp,inbound,Interacción 4 - Agustín Reyes,2026-07-12 02:26,2026-09-18 01:26
213,Agustín Rojas,agustín.rojas46@ejemplo.com,admin,email,inbound,Interacción 3 - Agustín Rojas,2026-07-12 01:26,2026-09-18 01:26
112,Lucas Soto,lucas.soto23@ejemplo.com,admin,whatsapp,outbound,Interacción 6 - Lucas Soto,2026-07-11 16:26,2026-09-18 01:26
145,Benjamín Cortés,benjamín.cortés34@ejemplo.com,admin,email,outbound,Interacción 1 - Benjamín Cortés,2026-07-11 07:26,2026-09-18 01:26
197,Ignacio Valenzuela,ignacio.valenzuela43@ejemplo.com,admin,phone,inbound,Interacción 6 - Ignacio Valenzuela,2026-07-10 07:26,2026-09-18 01:26
99,Valentina Silva,valentina.silva20@ejemplo.com,admin,meeting,outbound,Interacción 6 - Valentina Silva,2026-07-10 05:26,2026-09-18 01:26
118,María Cortés,maría.cortés26@ejemplo.com,admin,whatsapp,outbound,Interacción 1 - María Cortés,2026-07-09 18:26,2026-09-18 01:26
195,Ignacio Valenzuela,ignacio.valenzuela43@ejemplo.com,admin,meeting,inbound,Interacción 4 - Ignacio Valenzuela,2026-07-09 05:26,2026-09-18 01:26
186,Josefa García,josefa.garcía42@ejemplo.com,admin,chat,inbound,Interacción 2 - Josefa García,2026-07-09 01:26,2026-09-18 01:26
153,Martina Reyes,martina.reyes35@ejemplo.com,admin,whatsapp,outbound,Interacción 2 - Martina Reyes,2026-07-08 09:26,2026-09-18 01:26
133,Lucas Álvarez,lucas.álvarez30@ejemplo.com,admin,email,outbound,Interacción 5 - Lucas Álvarez,2026-07-08 08:26,2026-09-18 01:26
159,Javiera Fernández,javiera.fernández36@ejemplo.com,admin,other,inbound,Interacción 3 - Javiera Fernández,2026-07-08 07:26,2026-09-18 01:26
28,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,email,inbound,Interacción 4 - Sebastián Muñoz,2026-07-08 05:26,2026-09-18 01:26
178,Amanda Rodríguez,amanda.rodríguez40@ejemplo.com,admin,meeting,inbound,Interacción 4 - Amanda Rodríguez,2026-07-07 15:26,2026-09-18 01:26
121,Ignacio Rojas,ignacio.rojas27@ejemplo.com,admin,meeting,outbound,Interacción 2 - Ignacio Rojas,2026-07-07 10:26,2026-09-18 01:26
15,Sofía Rodríguez,sofía.rodríguez2@ejemplo.com,admin,email,inbound,Interacción 2 - Sofía Rodríguez,2026-07-07 08:26,2026-09-18 01:26
11,Sofía Pérez,sofía.pérez1@ejemplo.com,admin,phone,inbound,Interacción 2 - Sofía Pérez,2026-07-06 17:26,2026-09-18 01:26
56,Camila Salazar,camila.salazar9@ejemplo.com,admin,phone,inbound,Interacción 4 - Camila Salazar,2026-07-06 15:26,2026-09-18 01:26
182,Agustín Martínez,agustín.martínez41@ejemplo.com,admin,chat,inbound,Interacción 4 - Agustín Martínez,2026-07-04 09:26,2026-09-18 01:26
